vowel,f1.back,f2.back,f1.front,f2.front,f1.back.norm,f2.back.norm,f1front.norm,f2.front.norm
ɐ,820.2045,1527.62,829.8095,1603.9862,1.4484071,0.1752909,1.46655541,0.3011252
ɛ,612.0985,1709.63,610.2627,1731.1084,0.178048,0.5184894,0.16812857,0.5846703
i,462.71,1609.5265,485.024,1834.5286,-0.77218661,0.325454,-0.6440614,0.7799013
o,513.1752,937.3915,568.978,1199.7377,-0.44587451,-1.0246141,-0.09401493,-0.4903362
ɔ,655.1051,1128.23,715.8509,1244.7556,0.46185895,-0.610294,0.84907287,-0.354942
u,445.9541,981.3708,451.4225,1042.0768,-0.87942741,-0.9552676,-0.84001656,-0.8042275
ɐː,892.19,1552.09,861.05,1607.6757,1.9607927,0.2524071,1.81926058,0.389104
ɛː,569.2258,1996.1696,554.9006,2039.42,-0.06305321,1.1626001,-0.17259824,1.2417881
iː,406.9569,2464.7926,395.9958,2471.1329,-1.1186405,2.1365011,-1.1799099,2.1003578
oː,499.6457,832.4181,538.16,977.5089,-0.52757732,-1.2417199,-0.27010073,-0.9758325
ɔː,679.09,1049.82,720.206,1167.8338,0.6143093,-0.7669151,0.81696058,-0.5314615
uː,381.3992,819.6392,398.7732,890.3765,-1.28183192,-1.3162755,-1.15937037,-1.1095976
