speaker,f2i,f2ss,vowel,word,consonant
M01,1742.80434,1654.573264,a,ahdan,t
M01,2253.165975,2446.697264,i,idi,t
M01,1734.720595,1746.294587,a,at̻a,t̻
M01,2019.738729,1992.81979,i,it̻ik,t̻
M01,1696.074821,1738.192842,a,at̻a,t̻
M01,1680.10753,1522.440403,a,ahdan,t
M01,2124.331497,2610.477026,i,idi,t
M01,1841.760724,1741.534929,i,it̻ik,t̻
M01,2054.877427,2194.519506,i,idi,t
M01,1617.325592,1742.732156,a,at̻a,t̻
M01,1792.989131,1670.755882,a,ahdan,t
M01,1728.831175,1773.298261,i,it̻ik,t̻
M02,1869.029008,1693.212972,a,at̻a,t̻
M02,2238.298425,1783.294285,i,it̻ik,t̻
M02,1803.495729,1513.23902,a,at̻a,t̻
M02,1836.948236,1718.51503,a,ahdan,t
M02,2486.395209,2682.526776,i,idi,t
M02,2138.593598,1662.819053,i,it̻ik,t̻
M02,2235.424792,2716.001242,i,idi,t
M02,1687.541661,1737.638437,a,at̻a,t̻
M02,1801.349985,1789.995242,a,ahdan,t
M02,2104.562817,1875.359113,i,it̻ik,t̻
F01,1847.951679,1813.683413,a,ahdan,t
F01,2530.47425,2780.577901,i,idi,t
F01,1883.620252,1754.79532,a,at̻a,t̻
F01,2584.84777,1796.307953,i,it̻ik,t̻
F01,1915.329196,1858.348967,a,at̻a,t̻
F01,1893.619719,1777.504377,a,ahdan,t
F01,2688.565722,2734.02699,i,idi,t
F01,2241.98805,1877.585524,i,it̻ik,t̻
F01,2497.838324,2706.556226,i,idi,t
F01,1777.739991,1733.554798,a,at̻a,t̻
F01,1827.200239,1776.112341,a,ahdan,t
F01,2039.914696,1828.647726,i,it̻ik,t̻
M03,1642.857425,1714.847656,a,ahdan,t
M03,1917.175173,1938.616595,i,idi,t
M03,1822.640795,1750.1417622,a,at̻a,t̻
M03,1894.268832,1908.387574,i,it̻ik,t̻
M03,1813.266383,1646.572837,a,at̻a,t̻
M03,1668.89205,1675.357258,a,ahdan,t
M03,2069.59255,2170.522792,i,idi,t
M03,1946.549161,1879.698011,i,it̻ik,t̻
M03,2107.161857,2159.254469,i,idi,t
M03,1744.888931,1599.072026,a,at̻a,t̻
M03,1622.970812,1690.883911,a,ahdan,t
M03,1996.550155,2070.229892,i,it̻ik,t̻
F02,1948.373344,1960.378668,a,ahdan,t
F02,2549.183283,2747.608099,i,idi,t
F02,1947.429073,1804.558937,a,at̻a,t̻
F02,2409.141316,2376.856302,i,it̻ik,t̻
F02,2026.088175,1826.874737,a,at̻a,t̻
F02,1990.799038,1916.389727,a,ahdan,t
F02,2621.513644,2726.848399,i,idi,t
F02,2211.531848,2217.737055,i,it̻ik,t̻
F02,2753.486257,2882.987772,i,idi,t
F02,1963.514457,1817.824176,a,at̻a,t̻
F02,2055.654879,2015.903863,a,ahdan,t
F02,2363.521451,2335.973339,i,it̻ik,t̻
